symbol,secID,ticker,exchangeCD,secShortName,listDate
sz000829,000829.XSHE,000829,XSHE,天音控股,1997-12-02
sz000830,000830.XSHE,000830,XSHE,鲁西化工,1998-08-07
sz000831,000831.XSHE,000831,XSHE,中国稀土,1998-09-11
sz000833,000833.XSHE,000833,XSHE,粤桂股份,1998-11-11
sz000837,000837.XSHE,000837,XSHE,秦川机床,1998-09-28
sz000838,000838.XSHE,000838,XSHE,财信发展,1997-06-26
sz000839,000839.XSHE,000839,XSHE,国安股份,1997-10-31
sz000848,000848.XSHE,000848,XSHE,承德露露,1997-11-13
sz000850,000850.XSHE,000850,XSHE,华茂股份,1998-10-07
sz000852,000852.XSHE,000852,XSHE,石化机械,1998-11-26
sz000856,000856.XSHE,000856,XSHE,冀东装备,1998-08-13
sz000858,000858.XSHE,000858,XSHE,五粮液,1998-04-27
sz000859,000859.XSHE,000859,XSHE,国风新材,1998-11-19
sz000860,000860.XSHE,000860,XSHE,顺鑫农业,1998-11-04
sz000862,000862.XSHE,000862,XSHE,银星能源,1998-09-15
sz000863,000863.XSHE,000863,XSHE,三湘印象,1997-09-25
sz000868,000868.XSHE,000868,XSHE,安凯客车,1997-07-25
sz000869,000869.XSHE,000869,XSHE,张裕A,2000-10-26
sz000875,000875.XSHE,000875,XSHE,电投绿能,2002-09-26
sz000876,000876.XSHE,000876,XSHE,新希望,1998-03-11
sz000877,000877.XSHE,000877,XSHE,天山股份,1999-01-07
sz000878,000878.XSHE,000878,XSHE,云南铜业,1998-06-02
sz000880,000880.XSHE,000880,XSHE,潍柴重机,1998-04-02
sz000881,000881.XSHE,000881,XSHE,中广核技,1998-09-02
sz000882,000882.XSHE,000882,XSHE,华联股份,1998-06-16
sz000883,000883.XSHE,000883,XSHE,湖北能源,1998-05-19
sz000885,000885.XSHE,000885,XSHE,城发环境,1999-03-19
sz000886,000886.XSHE,000886,XSHE,海南高速,1998-01-23
sz000887,000887.XSHE,000887,XSHE,中鼎股份,1998-12-03
sz000888,000888.XSHE,000888,XSHE,峨眉山A,1997-10-21
sz000889,000889.XSHE,000889,XSHE,中嘉博创,1997-12-18
sz000890,000890.XSHE,000890,XSHE,法尔胜,1999-01-19
sz000892,000892.XSHE,000892,XSHE,欢瑞世纪,1999-01-15
sz000893,000893.XSHE,000893,XSHE,亚钾国际,1998-12-24
sz000895,000895.XSHE,000895,XSHE,双汇发展,1998-12-10
sz000897,000897.XSHE,000897,XSHE,津滨发展,1999-04-22
sz000898,000898.XSHE,000898,XSHE,鞍钢股份,1997-12-25
sz000899,000899.XSHE,000899,XSHE,赣能股份,1997-11-26
sz000900,000900.XSHE,000900,XSHE,现代投资,1999-01-28
sz000901,000901.XSHE,000901,XSHE,航天科技,1999-04-01
sz000902,000902.XSHE,000902,XSHE,新洋丰,1999-04-08
sz000903,000903.XSHE,000903,XSHE,ST云动,1999-04-15
sz000905,000905.XSHE,000905,XSHE,厦门港务,1999-04-29
sz000906,000906.XSHE,000906,XSHE,浙商中拓,1999-07-07
sz000908,000908.XSHE,000908,XSHE,*ST景峰,1999-02-03
sz000909,000909.XSHE,000909,XSHE,ST数源,1999-05-07
sz000910,000910.XSHE,000910,XSHE,大亚圣象,1999-06-30
sz000911,000911.XSHE,000911,XSHE,广农糖业,1999-05-27
sz000912,000912.XSHE,000912,XSHE,泸天化,1999-06-03
sz000913,000913.XSHE,000913,XSHE,钱江摩托,1999-05-14
sz000915,000915.XSHE,000915,XSHE,华特达因,1999-06-09
sz000917,000917.XSHE,000917,XSHE,电广传媒,1999-03-25
sz000919,000919.XSHE,000919,XSHE,金陵药业,1999-11-18
sz000920,000920.XSHE,000920,XSHE,沃顿科技,1999-06-16
sz000921,000921.XSHE,000921,XSHE,海信家电,1999-07-13
sz000922,000922.XSHE,000922,XSHE,佳电股份,1999-06-18
sz000923,000923.XSHE,000923,XSHE,河钢资源,1999-07-14
sz000925,000925.XSHE,000925,XSHE,众合科技,1999-06-11
sz000926,000926.XSHE,000926,XSHE,福星股份,1999-06-18
