secID,ticker,tradeDate,marketValue,negMarketValue,secShortName,exchangeCD
300027.XSHE,300027,2026-03-26,4300484145.0,3851717140.0,华谊兄弟,XSHE
002296.XSHE,002296,2026-03-26,4300967616.0,3835466016.0,辉煌科技,XSHE
300245.XSHE,300245,2026-03-26,4301205000.0,4291738260.0,天玑科技,XSHE
600488.XSHG,600488,2026-03-26,4302033598.0,4302033598.0,津药药业,XSHG
300132.XSHE,300132,2026-03-26,4303118897.0,4232317229.0,青松股份,XSHE
300996.XSHE,300996,2026-03-26,4303850720.0,3573401826.0,普联软件,XSHE
002162.XSHE,002162,2026-03-26,4304200212.0,4298552388.0,悦心健康,XSHE
301102.XSHE,301102,2026-03-26,4307660000.0,4307660000.0,兆讯传媒,XSHE
002899.XSHE,002899,2026-03-26,4308282550.0,4308282550.0,英派斯,XSHE
688201.XSHG,688201,2026-03-26,4310121501.0,4111393572.0,信安世纪,XSHG
300933.XSHE,300933,2026-03-26,4311073140.0,4311073140.0,中辰股份,XSHE
002224.XSHE,002224,2026-03-26,4312116392.0,3854498312.0,三力士,XSHE
301618.XSHE,301618,2026-03-26,4312320020.0,1584775540.0,长联科技,XSHE
301181.XSHE,301181,2026-03-26,4314300940.0,3367366008.0,标榜股份,XSHE
001216.XSHE,001216,2026-03-26,4316995238.0,4208781830.86,华瓷股份,XSHE
301051.XSHE,301051,2026-03-26,4320765680.0,3426250240.0,信濠光电,XSHE
301026.XSHE,301026,2026-03-26,4320877470.0,3120638430.0,浩通科技,XSHE
601999.XSHG,601999,2026-03-26,4324680395.0,4324680395.0,出版传媒,XSHG
301456.XSHE,301456,2026-03-26,4325374250.0,1739377875.0,盘古智能,XSHE
301210.XSHE,301210,2026-03-26,4325543682.0,1640327586.0,金杨精密,XSHE
002453.XSHE,002453,2026-03-26,4329916643.0,3266027323.0,华软科技,XSHE
002090.XSHE,002090,2026-03-26,4334244222.0,4284909350.0,金智科技,XSHE
603167.XSHG,603167,2026-03-26,4334895180.0,4334895180.0,渤海轮渡,XSHG
301046.XSHE,301046,2026-03-26,4335158496.0,3311841363.0,能辉科技,XSHE
603199.XSHG,603199,2026-03-26,4335335600.0,4335335600.0,九华旅游,XSHG
300335.XSHE,300335,2026-03-26,4336042716.0,3492025308.0,迪森股份,XSHE
688489.XSHG,688489,2026-03-26,4339949399.0,4306833702.0,三未信安,XSHG
000919.XSHE,000919,2026-03-26,4341033010.0,4339931566.0,金陵药业,XSHE
300916.XSHE,300916,2026-03-26,4343659320.0,2805558756.0,朗特智能,XSHE
603439.XSHG,603439,2026-03-26,4346928026.0,4292821326.0,三力制药,XSHG
002596.XSHE,002596,2026-03-26,4349330474.0,4345330887.0,海南瑞泽,XSHE
001282.XSHE,001282,2026-03-26,4350394048.0,1530466784.0,三联锻造,XSHE
688581.XSHG,688581,2026-03-26,4350578223.0,2228846711.0,安杰思,XSHG
002876.XSHE,002876,2026-03-26,4350600198.0,3726713988.0,三利谱,XSHE
300264.XSHE,300264,2026-03-26,4351661760.0,3741332900.0,佳创视讯,XSHE
